"Environment and Climate Change Canada"
"Monthly Values for September - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"PORT HARDY A","50.681","-127.367","BC","11.9","0",NA,"19.5","0","1.7","0","0.0","0",NA,"196.6","0",NA,"","14","",,NA,"184.0","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","14.0","3",NA,"25.1","3","7.6","3","",,NA,"80.7","3",NA,"","12","",,NA,"109.2","0.0","1026562"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","13.6","2","-0.6","26.5","2","3.0","2","0.0","2",NA,"227.8","2",NA,"0.0","14","","",NA,"123.9","0.3","1026639"
"ENTRANCE ISLAND","49.209","-123.809","BC","14.5","0",NA,"21.5","0","11.0","0","0.0","0",NA,"96.8","0",NA,"0.0","14","","",NA,"105.5","0.5","102BFHH"
"CAPE BEALE LIGHT","48.786","-125.216","BC","13.4","0","0.1","20.5","0","8.0","0","0.0","0",NA,"272.8","0","274.0","0.0","14","","",NA,"136.9","0.0","1031316"
"CONUMA RIVER HATCHERY","49.800","-126.418","BC","",,NA,"",,"",,"0.0","0",NA,"349.5","0","248.0","0.0","17","","",NA,"","","1031844"
"ESTEVAN POINT","49.383","-126.543","BC","13.7","1","0.3","19.5","1","6.5","1","0.0","1",NA,"284.4","1",NA,"0.0","16","","",NA,"124.9","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","13.3","0",NA,"18.8","0","6.2","0","",,NA,"262.0","0",NA,"","14","",,NA,"140.3","0.0","1032731"
"LENNARD ISLAND","49.111","-125.923","BC","11.1","0",NA,"19.5","0","4.0","0","0.0","0",NA,"298.4","0","237.0","0.0","13","","",NA,"206.2","0.0","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","14.2","1","-0.3","26.5","1","5.0","1","0.0","1",NA,"372.7","1",NA,"","14","","",NA,"110.0","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","16.6","26","1.9","25.5","26","13.0","26","0.0","26",NA,"36.0","26",NA,"0.0","2","","",NA,"7.4","1.8","1035614"
"PACHENA POINT","48.723","-125.097","BC","12.2","1","-0.8","21.0","1","3.5","1","0.0","1",NA,"255.2","1",NA,"0.0","13","","",NA,"168.9","0.0","1035940"
"PORT ALBERNI (AUT)","49.317","-124.927","BC","14.1","2",NA,"29.8","2","3.3","2","",,NA,"229.6","2",NA,"","15","",,NA,"111.4","1.5","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","12.7","1",NA,"17.0","1","9.2","1","",,NA,"163.8","1",NA,"","10","",,NA,"153.9","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","12.9","0",NA,"18.2","0","8.4","0","",,NA,"160.8","0",NA,"","15","",,NA,"151.8","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.932","-126.654","BC","14.9","14",NA,"25.5","14","4.5","14","",,NA,"231.0","22",NA,"","8","","",NA,"51.3","1.8","1037899"
"TOFINO A","49.082","-125.773","BC","13.3","0","-0.2","24.0","0","4.0","0","0.0","0",NA,"321.0","0","242.0","0.0","14","","",NA,"142.2","0.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","13.3","2","-0.4","24.5","2","4.5","2","0.0","2",NA,"270.4","2",NA,"","13","","",NA,"131.8","0.0","1038332"
"ZEBALLOS MURAUDE CREEK","50.053","-126.779","BC","14.3","15",NA,"25.0","15","5.0","15","0.0","15",NA,"192.5","15",NA,"","7","","",NA,"54.9","0.0","1039035"
"BOWEN ISLAND SUNSET PARK","49.360","-123.402","BC","",,NA,"",,"",,"0.0","18",NA,"181.8","18",NA,"0.0","11","","",NA,"","","104091B"
"GIBSONS GOWER POINT","49.386","-123.541","BC","14.5","0","-0.7","24.5","0","8.5","0","0.0","0",NA,"156.0","0","269.0","0.0","16","","",NA,"107.4","1.8","1043152"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","15.3","0","0.1","23.5","0","10.0","0","0.0","0",NA,"138.5","0","284.0","0.0","11","","",NA,"84.2","1.8","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","15.2","0",NA,"23.1","0","10.2","0","",,NA,"135.6","0",NA,"","13","",,NA,"89.5","4.1","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"0.0","0",NA,"158.0","0",NA,"0.0","16","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","14.5","0",NA,"27.7","0","7.1","0","",,NA,"383.6","0",NA,"","14","",,NA,"109.7","4.8","1046332"
"POWELL RIVER A","49.834","-124.500","BC","13.2","0","-0.9","27.5","0","4.0","0","0.0","0",NA,"216.9","0","397.0","0.0","15","","",NA,"144.8","0.8","1046391"
"POWELL RIVER","49.835","-124.497","BC","13.4","0",NA,"27.3","0","4.6","0","",,NA,"191.8","0",NA,"0.0","12","",,NA,"139.5","1.0","1046392"
"SECHELT AUT","49.458","-123.715","BC","13.8","0",NA,"26.7","0","5.4","0","",,NA,"118.1","0",NA,"","11","",,NA,"125.5","0.4","1047172"
"SQUAMISH AIRPORT","49.783","-123.161","BC","14.1","0",NA,"28.8","0","4.5","0","",,NA,"266.0","0",NA,"","15","",,NA,"119.2","2.4","10476F0"
"WHISTLER","50.129","-122.955","BC","11.4","0","-1.3","28.0","0","1.5","0","0.0","0",NA,"169.0","0","308.0","0.0","15","","",NA,"198.0","0.0","1048898"
"CAPE ST JAMES","51.936","-131.016","BC","13.7","0",NA,"19.5","0","9.8","0","",,NA,"71.0","0",NA,"","11","",,NA,"129.3","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","13.8","1",NA,"18.1","1","9.2","1","",,NA,"111.0","1",NA,"","12","",,NA,"121.2","0.0","1054222"
"LANGARA","54.255","-133.058","BC","12.4","0","0.1","17.5","0","7.0","0","0.0","0","0.0","78.0","0","41.0","0.0","10","","",NA,"167.7","0.0","1054500"
"ROSE SPIT (AUT)","54.159","-131.661","BC","13.7","19",NA,"18.8","19","7.0","19","",,NA,"58.2","19",NA,"","7","",,NA,"47.6","0.0","1056869"
"SANDSPIT AIRPORT AUTO","53.249","-131.813","BC","13.6","0",NA,"19.3","0","5.5","0","",,NA,"98.0","0",NA,"","12","",,NA,"131.1","0.0","1057051"
"SANDSPIT","53.254","-131.814","BC","13.7","8",NA,"19.3","8","7.7","8","",,NA,"87.9","8",NA,"","7","",,NA,"95.0","0.0","1057052"
"ADDENBROKE ISLAND","51.604","-127.864","BC","13.3","0","0.3","19.5","0","7.5","0","0.0","0",NA,"234.6","0","103.0","0.0","17","","",NA,"140.9","0.0","1060080"
"BELLA BELLA","52.185","-128.157","BC","11.1","19",NA,"22.1","19","1.7","18","",,NA,"37.6","19",NA,"","5","",,NA,"75.7","0.0","1060815"
"BELLA COOLA AIRPORT","52.389","-126.587","BC","12.5","1",NA,"23.9","1","3.8","1","",,NA,"75.5","1",NA,"","13","",,NA,"159.2","0.0","1060844"
"BOAT BLUFF","52.643","-128.524","BC","13.5","0","0.7","22.0","0","6.5","0","0.0","0",NA,"328.8","0","90.0","0.0","13","","",NA,"133.7","0.0","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","13.2","0","0.5","18.0","0","7.0","0","0.0","0",NA,"153.6","0","93.0","0.0","13","","",NA,"144.5","0.0","1060902"
"BONILLA ISLAND (AUT)","53.493","-130.639","BC","12.8","3",NA,"18.9","3","7.9","3","",,NA,"105.2","3",NA,"","10","",,NA,"139.7","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.187","-127.471","BC","13.4","1",NA,"19.0","1","7.7","1","",,NA,"42.8","1",NA,"","6","",,NA,"134.0","0.0","1061458"
"CUMSHEWA ISLAND","53.030","-131.602","BC","13.6","1",NA,"19.3","1","9.6","1","",,NA,"91.2","1",NA,"","5","",,NA,"128.0","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","14.1","0","0.6","21.0","0","6.5","0","0.0","0",NA,"160.8","0","77.0","0.0","11","","",NA,"117.0","0.0","1062544"
"EGG ISLAND","51.247","-127.835","BC","12.2","6","0.1","18.5","6","7.5","6","0.0","6",NA,"216.0","6",NA,"0.0","12","","",NA,"139.4","0.0","1062646"
"GREEN ISLAND","54.569","-130.708","BC","12.5","0","0.1","18.0","0","7.0","0","0.0","0",NA,"96.6","0","39.0","0.0","12","","",NA,"165.4","0.0","1063298"
"GREY ISLET (AUT)","54.580","-130.698","BC","12.7","1",NA,"17.7","1","8.4","1","",,NA,"71.4","1",NA,"","10","",,NA,"152.6","0.0","1063303"
"HOLLAND ROCK","54.172","-130.361","BC","12.3","0",NA,"18.3","0","7.2","0","",,NA,"114.0","0",NA,"","12","",,NA,"172.3","0.0","1063496"
"IVORY ISLAND","52.270","-128.407","BC","13.7","0","0.5","20.5","0","7.0","0","0.0","0",NA,"186.6","0","87.0","0.0","12","","",NA,"128.4","0.0","1063690"
"KEMANO","53.563","-127.943","BC","11.8","0","-0.9","23.5","0","3.0","0","0.0","0",NA,"95.0","0","58.0","0.0","14","","",NA,"185.8","0.0","1064020"
"KITIMAT TOWNSITE","54.054","-128.634","BC","12.1","0","-0.5","22.0","0","0.0","0","0.0","0",NA,"95.0","0","50.0","0.0","9","","",NA,"177.0","0.0","1064320"
"KITIMAT 2","54.010","-128.705","BC","12.6","1","-0.5","23.0","1","2.0","1","0.0","1",NA,"87.5","1",NA,"0.0","10","","",NA,"155.5","0.0","1064321"
"LUCY ISLAND LIGHTSTATION","54.296","-130.609","BC","12.5","0",NA,"16.9","0","7.0","0","",,NA,"",,NA,"","","",,NA,"165.3","0.0","1064728"
"MCINNES ISLAND","52.262","-128.719","BC","14.2","0","1.1","20.0","0","9.0","0","0.0","0","0.0","159.0","0","75.0","0.0","13","","",NA,"114.2","0.0","1065010"
"PRINCE RUPERT","54.286","-130.445","BC","11.8","6",NA,"19.8","6","2.6","6","",,NA,"141.6","6",NA,"","12","",,NA,"148.1","0.0","1066482"
"TERRACE PCC","54.502","-128.625","BC","12.7","3","0.1","22.5","3","2.0","3","0.0","3",NA,"31.6","3",NA,"0.0","4","","",NA,"142.1","0.0","1068131"
"TERRACE A","54.469","-128.578","BC","11.9","0",NA,"20.6","0","1.0","0","0.0","0",NA,"24.2","0",NA,"","9","",,NA,"182.6","0.0","1068134"
"TRIPLE ISLAND","54.295","-130.880","BC","13.0","0",NA,"16.5","0","8.5","0","0.0","0",NA,"82.2","0",NA,"0.0","12","","",NA,"150.6","0.0","1068250"
"HOUSTON","54.396","-126.668","BC","8.4","7",NA,"21.0","7","-4.5","7","0.0","12",NA,"30.6","12",NA,"","3","","",NA,"220.6","0.0","1073615"
"SMITHERS","54.825","-127.183","BC","7.9","9",NA,"20.8","9","-5.3","9","",,NA,"15.2","9",NA,"","6","",,NA,"212.5","0.0","1077499"
"SMITHERS A","54.825","-127.183","BC","9.0","0","-0.9","21.0","0","-5.0","0","0.0","0",NA,"23.4","0","44.0","0.0","7","","",NA,"270.2","0.0","1077500"
"SMITHERS AIRPORT AUTO","54.824","-127.189","BC","8.8","3",NA,"20.9","3","-4.5","3","",,NA,"26.9","3",NA,"","10","",,NA,"248.5","0.0","1077501"
"SUSKWA VALLEY","55.289","-127.171","BC","7.6","0","-2.0","19.5","0","-5.0","0","0.0","0","0.0","58.4","0","72.0","0.0","12","","",NA,"311.3","0.0","107G879"
"OOTSA LAKESKINS LAKE CLIMATE","53.772","-125.997","BC","7.6","1",NA,"18.7","1","-3.6","1","",,NA,"55.0","1",NA,"","8","",,NA,"300.9","0.0","1085836"
"PEMBERTON AIRPORT (WIND)","50.302","-122.738","BC","13.7","0",NA,"30.8","0","3.2","0","",,NA,"",,NA,"","","",,NA,"130.4","0.7","1086081"
"PEMBERTON AIRPORT CS","50.306","-122.734","BC","13.8","0",NA,"30.4","0","3.6","0","",,NA,"88.3","0",NA,"","14","",,NA,"127.2","0.7","1086082"
"PUNTZI MOUNTAIN (AUT)","52.114","-124.136","BC","7.7","0",NA,"21.8","0","-4.2","0","",,NA,"69.6","0",NA,"","9","",,NA,"310.0","0.0","1086558"
"TATLAYOKO LAKE RCS","51.675","-124.403","BC","8.5","0",NA,"22.9","0","-3.0","0","",,NA,"74.6","0",NA,"","20","",,NA,"285.2","0.0","1088015"
"BURNS LAKE DECKER LAKE","54.383","-125.959","BC","6.5","0",NA,"20.5","0","-9.1","0","",,NA,"40.1","0",NA,"","5","",,NA,"346.3","0.0","1091174"
"FORT ST JAMES","54.455","-124.286","BC","8.9","15","-1.2","18.5","15","-3.0","15","0.0","15",NA,"13.4","15",NA,"","2","","",NA,"135.8","0.0","1092970"
"FORT ST JAMES AUTO","54.455","-124.286","BC","8.2","4",NA,"20.4","4","-4.4","4","",,NA,"40.4","4",NA,"2.0","9","",,NA,"254.4","0.0","1092975"
"MCLEESE LAKE GRANITE MT","52.531","-122.286","BC","7.8","20",NA,"20.0","15","-6.0","16","0.0","15",NA,"37.9","15",NA,"","7","","",NA,"102.5","0.0","1095018"
"PRINCE GEORGE","53.884","-122.678","BC","7.5","8",NA,"22.7","8","-8.0","8","",,NA,"33.7","8",NA,"","7","",,NA,"231.2","0.0","1096439"
"PRINCE GEORGE AIRPORT AUTO","53.889","-122.672","BC","7.8","0",NA,"22.6","0","-8.0","0","",,NA,"35.6","0",NA,"","7","",,NA,"305.8","0.0","1096453"
"PRINCE GEORGE MASSEY AUTO","53.900","-122.791","BC","9.7","4",NA,"22.7","4","-2.6","4","",,NA,"37.9","4",NA,"","9","",,NA,"214.9","0.0","1096454"
"PRINCE GEORGE STP","53.880","-122.768","BC","9.2","3","-2.0","23.0","3","-3.5","3","0.0","1",NA,"30.6","1",NA,"0.0","8","","",NA,"236.8","0.0","1096468"
"QUESNEL","53.026","-122.510","BC","7.9","8",NA,"19.6","8","-4.0","8","",,NA,"30.9","8",NA,"","6","",,NA,"222.0","0.0","1096629"
"QUESNEL AIRPORT AUTO","53.027","-122.506","BC","8.7","0",NA,"22.3","0","-4.1","0","",,NA,"32.0","0",NA,"","6","",,NA,"277.6","0.0","1096631"
"SPOKIN LAKE 4E","52.184","-121.686","BC","5.8","0","-2.7","23.0","0","-9.0","0","3.0","0","566.0","101.6","0","220.0","0.0","15","","",NA,"366.4","0.0","1097646"
"WILLIAMS LAKE A","52.183","-122.054","BC","8.3","0",NA,"22.9","0","-2.5","0","3.0","0",NA,"68.1","0",NA,"5.0","15","",,NA,"289.9","0.0","1098941"
"VANDERHOOF","54.033","-124.017","BC","8.9","0","-2.2","20.5","0","-6.5","0","0.0","0","0.0","25.8","0","58.0","0.0","7","","",NA,"273.4","0.0","1098D90"
"108 MILE HOUSE ABEL LAKE","51.623","-121.263","BC","9.3","4",NA,"25.5","4","-1.5","4","2.0","3",NA,"30.3","3",NA,"0.0","9","","",NA,"225.3","0.0","109E7R6"
"ABBOTSFORD A","49.025","-122.360","BC","15.1","0",NA,"29.3","0","5.8","0","0.0","0",NA,"153.1","0",NA,"","13","",,NA,"90.2","4.6","1100031"
"AGASSIZ RCS","49.243","-121.760","BC","15.4","0","-0.9","28.7","0","6.8","0","",,NA,"134.9","0",NA,"","13","",,NA,"86.2","9.5","1100119"
"AGASSIZ CDA","49.243","-121.760","BC","15.6","10","-0.2","28.5","10","7.0","0","0.0","0",NA,"152.4","0","174.0","0.0","15","","",NA,"53.5","6.4","1100120"
"WHISTLER - NESTERS","50.129","-122.955","BC","11.7","2",NA,"28.3","2","1.8","2","",,NA,"83.4","2",NA,"","12","",,NA,"176.1","0.0","1100875"
"BURNABY SIMON FRASER U","49.278","-122.918","BC","14.0","7","-0.6","26.5","7","8.0","7","0.0","7",NA,"159.3","7",NA,"","14","","",NA,"97.1","4.8","1101158"
"CALLAGHAN VALLEY","50.144","-123.111","BC","10.3","0",NA,"25.7","0","1.9","0","",,NA,"205.3","0",NA,"","16","",,NA,"230.8","0.0","1101300"
"CLOVERDALE EAST","49.109","-122.698","BC","15.6","0",NA,"29.0","0","6.5","0","0.0","0",NA,"184.4","0",NA,"0.0","14","","",NA,"78.7","6.1","1101708"
"CULTUS LAKE","49.079","-121.979","BC","15.0","0",NA,"29.4","0","6.4","0","",,NA,"143.6","0",NA,"","14","",,NA,"95.9","5.2","1102221"
"DELTA BURNS BOG","49.126","-123.002","BC","13.9","0",NA,"27.6","0","3.4","0","",,NA,"110.7","0",NA,"","11","",,NA,"123.4","0.0","1102415"
"DELTA TSAWWASSEN BEACH","49.011","-123.093","BC","13.3","0","-2.0","26.0","0","4.0","0","0.0","0",NA,"116.6","0","293.0","0.0","15","","",NA,"142.5","0.3","1102425"
"FORT LANGLEY TELEGRAPH TRAIL","49.145","-122.551","BC","15.2","0",NA,"29.0","0","5.5","0","0.0","0",NA,"172.4","0",NA,"0.0","14","","",NA,"90.3","6.1","1102912"
"HANEY UBC RF ADMIN","49.264","-122.573","BC","14.3","4","-0.6","28.5","4","1.0","4","0.0","4",NA,"273.2","4",NA,"","16","","",NA,"99.0","3.1","1103332"
"MISSION WEST ABBEY","49.153","-122.271","BC","15.1","0","-0.5","28.0","0","8.0","0","0.0","0",NA,"176.0","0","198.0","0.0","16","","",NA,"95.7","8.9","1105192"
"N VANC GROUSE MTN RESORT","49.381","-123.078","BC","9.8","11","-1.6","24.0","11","3.0","10","0.0","10",NA,"289.5","10",NA,"0.0","10","","",NA,"157.6","1.3","1105658"
"N VANCOUVER WHARVES","49.315","-123.115","BC","",,NA,"",,"",,"0.0","1",NA,"163.1","1",NA,"","15","","",NA,"","","1105669"
"PITT MEADOWS CS","49.208","-122.690","BC","15.2","0",NA,"29.3","0","5.5","0","",,NA,"214.7","0",NA,"","13","",,NA,"85.9","2.5","1106178"
"POINT ATKINSON","49.330","-123.265","BC","14.8","1",NA,"24.4","1","10.0","1","",,NA,"154.6","1",NA,"","12","",,NA,"93.3","1.9","1106200"
"RICHMOND DALLYN 2","49.179","-123.087","BC","",,NA,"",,"",,"0.0","0",NA,"124.8","0",NA,"0.0","14","","",NA,"","","1106764"
"PORT MOODY GLENAYRE","49.279","-122.881","BC","14.6","0","-0.4","28.5","0","7.0","0","0.0","0",NA,"236.5","0","271.0","0.0","16","","",NA,"106.5","3.8","1106CL2"
"RICHMOND NATURE PARK","49.171","-123.093","BC","15.1","0","0.1","28.0","0","5.0","0","0.0","0",NA,"129.3","0","227.0","0.0","14","","",NA,"88.1","0.8","1106PF7"
"SANDHEADS CS","49.106","-123.303","BC","14.7","0",NA,"22.3","0","9.2","0","",,NA,"",,NA,"","","",,NA,"98.5","0.7","1107010"
"SUMAS CANAL","49.113","-122.110","BC","15.0","22",NA,"24.0","15","8.0","16","0.0","15",NA,"141.6","15",NA,"","10","","",NA,"23.7","0.0","1107785"
"VANCOUVER SEA ISLAND CCG","49.183","-123.187","BC","14.7","0",NA,"27.5","0","7.3","0","",,NA,"95.3","0",NA,"","11","",,NA,"99.4","1.5","1108380"
"VANCOUVER INTL A","49.195","-123.184","BC","14.6","0",NA,"27.1","0","6.1","0","0.0","0",NA,"111.0","0",NA,"","11","",,NA,"105.0","1.5","1108395"
"VANCOUVER HARBOUR CS","49.295","-123.122","BC","15.2","3",NA,"26.4","3","9.3","3","",,NA,"137.7","3",NA,"","11","",,NA,"76.5","2.0","1108446"
"WEST VANCOUVER AUT","49.347","-123.193","BC","14.9","0",NA,"27.8","0","7.9","0","",,NA,"224.3","0",NA,"","13","",,NA,"98.3","6.1","1108824"
